name,artists,release_year,popularity,cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_name
Hung Up,['Madonna'],2005,75,2,0.649,0.647,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02,Instrumental & Produced
Material Girl,['Madonna'],2009,74,3,0.742,0.883,-3.419,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,Bold & Energetic
Like a Prayer,['Madonna'],2009,73,3,0.624,0.842,-5.285,0.0376,0.264,2.11e-05,0.181,0.257,111.037,Bold & Energetic
Like a Virgin,['Madonna'],1984,73,1,0.771,0.655,-10.842,0.0372,0.152,0.00197,0.0685,0.97,119.747,Uplifting & Danceable
La Isla Bonita,['Madonna'],1986,72,1,0.725,0.612,-10.706,0.0372,0.302,1.63e-05,0.0548,0.965,99.978,Uplifting & Danceable
4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2009,71,3,0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029,Bold & Energetic
Vogue,['Madonna'],2009,68,3,0.737,0.88,-6.449,0.0433,0.00379,0.00351,0.417,0.329,115.998,Bold & Energetic
Like a Prayer,['Madonna'],1989,66,0,0.66,0.629,-12.359,0.0387,0.432,7.3e-05,0.172,0.324,111.926,Acoustic & Mellow
Papa Don't Preach,['Madonna'],1986,66,1,0.807,0.906,-8.973,0.0371,0.311,0.000791,0.0248,0.971,121.54,Uplifting & Danceable
Crazy for You,['Madonna'],2009,65,3,0.662,0.719,-6.606,0.0298,0.107,0.0,0.102,0.511,95.001,Bold & Energetic
Into the Groove,['Madonna'],2009,64,3,0.729,0.856,-4.164,0.035,0.0658,0.00832,0.0691,0.804,116.467,Bold & Energetic
Holiday,['Madonna'],2009,63,3,0.854,0.796,-5.567,0.0399,0.0542,0.00184,0.151,0.946,115.625,Bold & Energetic
Frozen,['Madonna'],1998,63,0,0.602,0.616,-10.917,0.0353,0.662,0.0153,0.149,0.31,108.017,Acoustic & Mellow
Me Against the Music (feat. Madonna) - LP Version / Video Mix,"['Britney Spears', 'Madonna']",2003,62,3,0.804,0.836,-6.635,0.089,0.32,0.0,0.213,0.85,120.046,Bold & Energetic
Sorry,['Madonna'],2005,62,3,0.589,0.877,-6.229,0.046,0.00121,0.013,0.169,0.443,132.971,Bold & Energetic
Bitch I'm Madonna,"['Madonna', 'Nicki Minaj']",2015,62,3,0.722,0.63,-5.784,0.132,0.0485,0.000294,0.179,0.519,150.023,Bold & Energetic
Vogue,['Madonna'],1990,62,3,0.748,0.84,-7.701,0.0421,0.00348,0.00647,0.44,0.304,115.997,Bold & Energetic
American Pie,['Madonna'],2000,61,3,0.631,0.734,-7.48,0.036,0.348,0.0,0.135,0.591,124.036,Bold & Energetic
Holiday,['Madonna'],1983,61,1,0.813,0.699,-8.656,0.0458,0.0251,0.0135,0.0527,0.732,117.548,Uplifting & Danceable
True Blue,['Madonna'],1986,60,1,0.799,0.773,-10.035,0.0393,0.261,2.58e-06,0.044,0.896,118.045,Uplifting & Danceable
Music,['Madonna'],2000,60,2,0.736,0.802,-8.527,0.0663,0.00149,0.0876,0.14,0.871,119.854,Instrumental & Produced
Ray of Light,['Madonna'],1998,60,2,0.561,0.909,-7.878,0.0312,0.00118,0.46,0.0713,0.71,127.172,Instrumental & Produced
Live to Tell,['Madonna'],1986,59,0,0.673,0.314,-14.156,0.0279,0.411,0.0334,0.107,0.27,109.841,Acoustic & Mellow
Jump,['Madonna'],2005,59,2,0.629,0.839,-7.061,0.0899,0.0018,0.0859,0.251,0.449,118.979,Instrumental & Produced
Hung Up,['Madonna'],2009,59,2,0.64,0.646,-7.572,0.0497,0.00364,0.165,0.0912,0.415,124.992,Instrumental & Produced
Give It 2 Me,['Madonna'],2008,59,3,0.837,0.954,-3.512,0.0414,0.0933,0.000405,0.143,0.972,127.019,Bold & Energetic
Crazy for You - Edit,['Madonna'],1990,59,0,0.672,0.549,-11.93,0.029,0.168,0.0,0.102,0.588,95.01,Acoustic & Mellow
Borderline,['Madonna'],2009,58,3,0.807,0.764,-5.186,0.0312,0.082,3.87e-05,0.115,0.371,119.867,Bold & Energetic
The Power of Good-Bye,['Madonna'],1998,58,2,0.534,0.561,-11.089,0.0409,0.0442,0.678,0.189,0.219,84.978,Instrumental & Produced
Express Yourself,['Madonna'],2009,58,3,0.667,0.93,-4.585,0.0608,0.0108,0.0,0.176,0.893,115.57,Bold & Energetic
Girl Gone Wild,['Madonna'],2012,57,3,0.697,0.598,-5.883,0.0708,0.0331,5.98e-06,0.318,0.606,131.967,Bold & Energetic
Don't Cry for Me Argentina,['Madonna'],1996,56,0,0.217,0.146,-13.9,0.0373,0.901,4.49e-06,0.222,0.0847,75.922,Acoustic & Mellow
Take a Bow,['Madonna'],2009,56,0,0.549,0.408,-7.698,0.024,0.341,0.0,0.0764,0.319,80.133,Acoustic & Mellow
Don't Tell Me,['Madonna'],2000,55,3,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965,Bold & Energetic
Who's That Girl,['Madonna'],1987,55,1,0.625,0.646,-13.592,0.0389,0.214,0.0533,0.0525,0.826,103.893,Uplifting & Danceable
Take a Bow,['Madonna'],1994,55,0,0.568,0.366,-8.854,0.0258,0.417,3.39e-06,0.0664,0.311,79.98,Acoustic & Mellow
Celebration,['Madonna'],2009,55,3,0.637,0.891,-4.139,0.0345,0.0742,0.000622,0.0686,0.933,126.002,Bold & Energetic
4 Minutes (feat. Justin Timberlake and Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2008,55,3,0.705,0.911,-4.873,0.0717,0.00592,0.00154,0.0603,0.803,113.032,Bold & Energetic
